family_taxon,taxon,preferred_authority,common_name,name_tvk,rtvk,organism_key,search_species_name
Cossidae,Cossus cossus,"Linnaeus, 1758",Goat Moth,NBNSYS0000005662,NBNSYS0000005662,NBNORG0000009013,"Cossus cossus Linnaeus, 1758"
Cossidae,Phragmataecia castaneae,"H端bner, 1790",Reed Leopard,NHMSYS0000503737,NHMSYS0000503737,NBNORG0000058754,"Phragmataecia castaneae H端bner, 1790"
Cossidae,Zeuzera pyrina,"Linnaeus, 1761",Leopard Moth,NBNSYS0000005661,NBNSYS0000005661,NBNORG0000009012,"Zeuzera pyrina Linnaeus, 1761"
Drepanidae,Achlya flavicornis,"Linnaeus, 1758",Yellow Horned,NBNSYS0000005732,NBNSYS0000005732,NBNORG0000009060,"Achlya flavicornis Linnaeus, 1758"
Drepanidae,Cilix glaucata,"Scopoli, 1763",Chinese Character,NBNSYS0000005723,NBNSYS0000005723,NBNORG0000009054,"Cilix glaucata Scopoli, 1763"
Drepanidae,Cymatophorina diluta,"Denis & Schifferm端ller, 1775",Oak Lutestring,NHMSYS0021164634,NHMSYS0021164634,NBNORG0000062448,"Cymatophorina diluta Denis & Schifferm端ller, 1775"
Drepanidae,Drepana curvatula,"Borkhausen, 1790",Dusky Hook-tip,NBNSYS0000005721,NBNSYS0000005721,NBNORG0000009052,"Drepana curvatula Borkhausen, 1790"
Drepanidae,Drepana falcataria,"Linnaeus, 1758",Pebble Hook-tip,NBNSYS0000005720,NBNSYS0000005720,NBNORG0000009051,"Drepana falcataria Linnaeus, 1758"
Drepanidae,Falcaria lacertinaria,"Linnaeus, 1758",Scalloped Hook-tip,NBNSYS0000005717,NBNSYS0000005717,NBNORG0000009050,"Falcaria lacertinaria Linnaeus, 1758"
Drepanidae,Habrosyne pyritoides,"Hufnagel, 1766",Buff Arches,NBNSYS0000005725,NBNSYS0000005725,NBNORG0000009056,"Habrosyne pyritoides Hufnagel, 1766"
